Frame	X	Y	VelX	VelY	Angle	AngularVel	Leg1	Leg2
254	-0.17416	0.91820	-0.48822	-1.02717	0.98241	0.36423	0	0
255	-0.17890	0.89481	-0.48215	-1.04806	0.99813	0.31442	0	0
256	-0.18359	0.87095	-0.47604	-1.06788	1.01101	0.25767	0	0
257	-0.18824	0.84660	-0.47065	-1.08825	1.02131	0.20592	0	0
258	-0.19285	0.82176	-0.46461	-1.10829	1.02884	0.15061	0	0
259	-0.19742	0.79642	-0.45979	-1.12935	1.03405	0.10436	0	0
260	-0.20194	0.77059	-0.45335	-1.14940	1.03647	0.04827	0	0
261	-0.20642	0.74428	-0.44752	-1.16922	1.03606	-0.00813	0	0
262	-0.21085	0.71747	-0.44201	-1.18940	1.03299	-0.06151	0	0
263	-0.21525	0.69015	-0.43711	-1.21153	1.02794	-0.10098	0	0
264	-0.21961	0.66233	-0.43246	-1.23215	1.02045	-0.14966	0	0
265	-0.22394	0.63402	-0.42690	-1.25229	1.01029	-0.20337	0	0
266	-0.22822	0.60521	-0.42195	-1.27327	0.99777	-0.25027	0	0
267	-0.23247	0.57591	-0.41573	-1.29347	0.98253	-0.30480	0	0
268	-0.23667	0.54610	-0.41116	-1.31553	0.96534	-0.34390	0	0
269	-0.24085	0.51576	-0.40664	-1.33779	0.94626	-0.38160	0	0
270	-0.24499	0.48494	-0.40019	-1.35776	0.92437	-0.43773	0	0
271	-0.24908	0.45359	-0.39505	-1.38075	0.90076	-0.47226	0	0
272	-0.25314	0.42174	-0.38909	-1.40204	0.87481	-0.51896	0	0
273	-0.25714	0.38941	-0.38143	-1.42232	0.84603	-0.57566	0	0
274	-0.26110	0.35657	-0.37464	-1.44385	0.81489	-0.62270	0	0
275	-0.26502	0.32323	-0.36774	-1.46547	0.78142	-0.66942	0	0
276	-0.26888	0.28940	-0.35994	-1.48686	0.74544	-0.71968	0	0
277	-0.27269	0.25508	-0.35156	-1.50790	0.70678	-0.77321	0	0
278	-0.27645	0.22025	-0.34422	-1.53069	0.66605	-0.81453	0	0
279	-0.28017	0.18490	-0.33774	-1.55376	0.62346	-0.85174	0	0
280	-0.28382	0.14904	-0.32792	-1.57626	0.57836	-0.90204	0	0
281	-0.28742	0.11269	-0.31842	-1.59892	0.53084	-0.95040	0	0
282	-0.29094	0.07582	-0.30819	-1.62226	0.48092	-0.99839	0	0
283	-0.29442	0.03842	-0.30128	-1.64654	0.42936	-1.03120	0	0
284	-0.29784	0.00052	-0.29192	-1.67031	0.37565	-1.07430	0	0
285	-0.30119	-0.03791	-0.28198	-1.69492	0.31980	-1.11692	0	0
286	-0.30461	-0.07605	-0.26384	-1.67927	0.24334	-1.52360	1	1
